,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
189,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
190,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
191,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
192,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
193,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
194,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
195,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
196,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
197,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
198,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
199,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
200,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
201,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
202,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
203,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
204,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
205,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
206,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
207,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
208,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
209,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
210,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
211,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
212,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
213,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
214,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
215,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
216,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
217,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
218,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
219,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
220,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
